unit,evaporator,condenser,compressor,indoor_fan,number_of_fan,default_airflow,g4_0,g4_1,g4_2,f7_0,f7_1,f7_2
esu20aes,es20,hec274,zr72kce,r3g560fa2803,1,6630,1.16E+00,3.85E-04,7.21E-06,5.34E+00,2.17E-03,1.28E-05
esd20aes,es20,hec274,zr72kce,r3g560fa2803,1,6630,2.90E+00,1.18E-03,6.26E-06,2.35E+00,9.75E-04,1.04E-05
